supplier_id,model_id,price
1,27642,280.0
1,27520,340.0
1,16508,120.0
1,16579,120.0
1,27085,160.0
1,27087,160.0
1,16435,140.0
1,16488,155.0
1,16486,155.0
1,16506,175.0
1,16503,175.0
1,16504,175.0
1,27101,185.0
1,27099,185.0
1,27108,227.0
1,27110,227.0
1,27107,227.0
1,19383,225.0
1,19385,225.0
1,19384,225.0
1,26464,305.0
1,26463,305.0
1,26462,305.0
1,26461,305.0
1,16447,285.0
1,26452,490.0
1,26449,480.0
1,26451,480.0
1,26450,480.0
1,26448,480.0
1,27112,750.0
1,27090,565.0
1,27091,565.0
1,27092,565.0
1,27857,130.0
1,27856,130.0
1,27858,130.0
1,27861,139.0
1,27860,139.0
1,27862,139.0
1,27863,139.0
1,27921,245.0
1,27898,165.0
1,27896,165.0
1,27899,165.0
1,27897,165.0
1,27852,187.0
1,27853,187.0
1,27928,207.0
1,27930,207.0
1,27929,207.0
1,27833,310.0
1,27835,310.0
1,27834,310.0
1,27836,310.0
1,27865,330.0
1,27867,330.0
1,27866,330.0
1,27868,330.0
1,27872,360.0
1,27873,360.0
1,27871,360.0
1,10611,65.0
1,10608,65.0
1,10615,135.0
1,12675,20.0
1,12677,20.0
1,12676,20.0
1,12583,20.0
1,12584,20.0
1,12621,27.0
1,12622,27.0
1,12623,27.0
1,12564,27.0
1,12589,29.0
1,12590,29.0
1,12591,29.0
1,12606,33.0
1,12565,31.0
1,12585,22.0
1,12586,22.0
1,12587,22.0
1,12588,22.0
1,12567,22.0
1,12568,22.0
1,12569,22.0
1,12570,22.0
1,12597,21.0
1,12598,21.0
1,12582,20.0
1,12616,24.0
1,12614,24.0
1,12615,24.0
1,12617,24.0
1,12673,23.0
1,12671,23.0
1,12672,23.0
1,12674,23.0
1,12603,29.0
1,12604,29.0
1,12605,29.0
1,12659,29.0
1,12663,29.0
1,12661,29.0
1,12660,29.0
1,12662,29.0
1,12664,32.0
1,12666,32.0
1,12665,32.0
1,12629,50.0
1,12631,50.0
1,12630,50.0
1,12632,50.0
1,12577,56.0
1,12576,56.0
1,12610,28.0
1,12611,28.0
1,12612,28.0
1,12668,28.0
1,12669,28.0
1,12670,28.0
1,12652,40.0
1,12655,40.0
1,12653,42.0
1,12654,40.0
1,25903,715.0
1,25908,820.0
1,9252,880.0
1,15562,1050.0
1,15563,1250.0
1,15564,1400.0
1,25990,1450.0
1,12301,1230.0
1,26063,1550.0
1,25771,1400.0
1,9719,2260.0
1,9670,3310.0
1,24765,1810.0
1,24768,1910.0
1,24774,2260.0
1,9699,3260.0
1,9700,3760.0
1,17114,3860.0
1,25967,3660.0
1,25831,4560.0
1,25840,5060.0
1,14279,780.0
1,13516,1040.0
1,13582,1800.0
1,24411,20.0
1,11517,28.0
1,2280,28.0
1,2287,28.0
1,7542,122.0
1,7541,180.0
1,2290,190.0
1,19526,210.0
1,8636,500.0
1,8639,510.0
1,8638,510.0
1,8637,575.0
1,27285,565.0
1,27284,595.0
1,27288,595.0
1,27286,595.0
1,13168,175.0
1,13173,380.0
1,13174,380.0
1,2068,205.0
1,2053,225.0
1,21363,235.0
1,21364,260.0
1,21365,270.0
1,21366,285.0
1,7538,320.0
1,7539,320.0
1,7540,320.0
1,7583,340.0
1,7584,340.0
1,11011,750.0
1,11013,750.0
1,11012,750.0
1,11017,750.0
1,11019,750.0
1,11018,750.0
1,21384,335.0
1,21381,335.0
1,21383,350.0
1,21382,350.0
1,21388,385.0
1,21385,375.0
1,21387,385.0
1,21386,385.0
1,21439,860.0
1,21440,860.0
1,7533,650.0
1,7532,650.0
1,7536,650.0
1,7519,700.0
1,7520,700.0
1,7518,700.0
1,7523,700.0
1,7521,700.0
1,7522,700.0
1,7526,700.0
1,7525,700.0
1,7524,700.0
1,7537,750.0
1,21361,750.0
1,21359,780.0
1,21372,750.0
1,21390,780.0
1,21380,930.0
1,21379,950.0
1,11491,20.0
1,1895,23.0
1,1896,23.0
1,16616,45.0
1,16615,45.0
1,23522,77.0
1,23523,77.0
1,1902,88.0
1,1903,88.0
1,25652,128.0
1,1900,134.0
1,1901,134.0
1,25649,173.0
1,2270,43.0
1,2268,43.0
1,2269,43.0
1,2266,165.0
1,15600,200.0
1,15601,200.0
1,15602,220.0
1,15603,215.0
1,15598,235.0
1,15599,235.0
1,15605,330.0
1,15604,330.0
1,15606,330.0
1,15607,330.0
1,7370,22.0
1,7371,22.0
1,7369,22.0
1,11061,25.0
1,11062,25.0
1,10649,22.0
1,11066,46.0
1,11068,46.0
1,11063,64.0
1,26902,33.0
1,26903,33.0
1,26904,33.0
1,26906,33.0
1,26907,33.0
1,26908,33.0
1,26898,70.0
1,26899,70.0
1,26900,70.0
1,27480,60.0
1,2868,50.0
1,11133,31.0
1,11134,31.0
1,8121,68.0
1,8122,68.0
1,14698,49.0
1,14700,49.0
1,14699,49.0
1,14701,67.0
1,27210,90.0
1,27212,85.0
1,27211,85.0
1,7396,40.0
1,7397,40.0
1,7394,50.0
1,7395,50.0
1,11127,90.0
1,11128,90.0
1,11129,90.0
1,27297,120.0
1,27298,120.0
1,27296,120.0
1,11130,150.0
1,11131,150.0
1,27290,175.0
1,27292,190.0
1,27291,175.0
1,27294,190.0
1,25151,185.0
1,38,50.0
1,24,50.0
1,11,100.0
1,13,100.0
1,12,100.0
1,12869,58.0
1,20452,115.0
1,20456,115.0
1,20455,115.0
1,21242,115.0
1,7679,240.0
1,7680,240.0
1,25145,395.0
1,25146,395.0
1,25149,400.0
1,10938,105.0
1,10940,105.0
1,10939,105.0
1,15572,150.0
1,15573,150.0
1,25143,185.0
1,28,165.0
1,29,165.0
1,15570,285.0
1,15571,285.0
1,26817,531.0
1,13189,30.0
1,13190,30.0
1,13354,35.0
1,6876,59.0
1,6875,59.0
1,6877,59.0
1,13356,57.0
1,13357,57.0
1,13358,57.0
1,13351,85.0
1,13369,100.0
1,13370,90.0
1,13371,90.0
1,28041,90.0
1,28044,100.0
1,28043,90.0
1,343,43.0
1,344,43.0
1,26737,43.0
1,345,43.0
1,348,95.0
1,349,95.0
1,352,178.0
1,26742,178.0
1,353,215.0
1,340,240.0
1,341,240.0
1,26734,240.0
1,342,240.0
1,26739,320.0
1,14525,335.0
1,14526,340.0
1,14527,335.0
1,26743,155.0
1,6118,32.0
1,6117,32.0
1,10969,39.0
1,10968,39.0
1,12957,85.0
1,12956,85.0
1,12958,85.0
1,6128,75.0
1,6126,75.0
1,6121,155.0
1,6120,155.0
1,6119,155.0
1,25158,160.0
1,25159,182.0
1,11481,115.0
1,11483,115.0
1,11482,115.0
1,27717,165.0
1,27718,165.0
1,27719,165.0
1,12881,45.0
1,12877,50.0
1,12878,45.0
1,26827,46.0
1,26825,46.0
1,25666,72.0
1,25665,75.0
1,25664,75.0
1,27200,154.0
1,27201,154.0
1,27204,154.0
1,27203,154.0
1,27202,154.0
1,13429,165.0
1,27206,195.0
1,27207,195.0
1,8097,165.0
1,8099,180.0
1,8098,180.0
1,8101,215.0
1,8100,185.0
1,8094,165.0
1,8096,165.0
1,8095,165.0
1,22148,190.0
1,22149,190.0
1,22151,190.0
1,22142,180.0
1,22144,180.0
1,22143,180.0
1,7786,320.0
1,22145,235.0
1,22147,235.0
1,22146,320.0
1,14697,470.0
1,14695,365.0
1,14694,365.0
1,14688,369.0
1,14692,345.0
1,14691,369.0
1,14690,480.0
1,7392,175.0
1,7393,175.0
1,7965,265.0
1,7966,265.0
1,2090,43.0
1,2089,43.0
1,2092,43.0
1,2091,43.0
1,11029,50.0
1,11030,50.0
1,11032,50.0
1,11031,50.0
1,6369,210.0
1,6370,210.0
1,24488,54.0
1,24485,90.0
1,24487,90.0
1,25003,88.0
1,6873,39.0
1,11028,39.0
1,27535,55.0
1,27538,55.0
1,27537,55.0
1,24998,75.0
1,24999,75.0
1,6375,53.0
1,6376,53.0
1,6378,55.0
1,6377,53.0
1,27530,62.0
1,27531,62.0
1,27532,62.0
1,11023,74.0
1,11024,79.0
1,11025,79.0
1,6383,75.0
1,24992,85.0
1,11033,115.0
1,11034,115.0
1,11035,115.0
1,6381,100.0
1,6382,100.0
1,6380,100.0
1,28420,150.0
1,28421,150.0
1,28423,150.0
1,28424,150.0
1,6372,125.0
1,28427,165.0
1,28428,165.0
1,28429,165.0
1,28430,165.0
