model_id,min_price_old,min_price_new,date,status
281,,,,None
282,,,,None
283,,,,None
284,,,,None
285,,,,None
286,,,,None
287,,,,None
288,,,,None
289,,,,None
290,,,,None
291,,,,None
292,,,,None
293,,,,None
294,,,,None
295,,,,None
296,,,,None
297,,,,None
298,1100.0,1000.0,2025-03-12,None
299,1100.0,1050.0,2025-03-12,None
300,1100.0,1000.0,2025-03-12,None
301,1110.0,1050.0,2025-03-12,None
302,1220.0,1200.0,2025-01-04,None
303,1270.0,1250.0,2024-12-12,None
304,1220.0,1200.0,2025-01-04,None
305,1350.0,1250.0,2024-12-12,None
306,,,,None
307,,,,None
308,,,,None
309,,,,None
310,1100.0,1080.0,2025-03-12,None
311,1050.0,1100.0,2025-03-12,None
312,1100.0,1080.0,2025-03-12,None
313,1110.0,1100.0,2025-02-11,None
314,1290.0,1280.0,2024-11-22,None
315,1320.0,1300.0,2024-11-22,None
316,1320.0,1300.0,2024-11-22,None
317,1270.0,1250.0,2024-12-12,None
326,99.0,75.0,2026-02-09,None
327,,99.0,2024-08-14,None
328,,75.0,2024-08-14,None
329,,75.0,2024-08-14,None
330,,75.0,2024-08-14,None
331,42.0,133.0,2026-02-09,None
332,,42.0,2024-08-14,None
333,155.0,105.0,2024-08-16,None
334,105.0,100.0,2025-02-16,None
335,155.0,105.0,2024-08-16,None
336,165.0,120.0,2024-08-16,None
337,165.0,120.0,2024-08-16,None
338,165.0,120.0,2024-08-16,None
339,17.0,23.0,2026-02-23,None
340,230.0,225.0,2026-04-27,None
341,240.0,225.0,2026-04-27,None
342,230.0,225.0,2026-04-27,None
343,31.0,33.0,2026-04-27,None
344,31.0,33.0,2026-04-27,None
345,31.0,33.0,2026-04-27,None
346,33.0,31.0,2026-03-22,None
347,30.0,73.0,2026-02-12,None
348,73.0,85.0,2026-07-10,None
349,73.0,85.0,2026-07-10,None
350,184.0,200.0,2026-03-22,None
351,184.0,200.0,2026-03-22,None
352,165.0,163.0,2026-07-10,None
353,180.0,200.0,2026-02-12,None
354,33.0,31.0,2026-06-29,None
355,16.0,18.0,2026-06-29,None
356,5.0,7.0,2026-06-29,None
357,23.0,22.0,2026-06-29,None
358,,,,None
359,,,,None
360,,320.0,2025-05-26,None
361,,,,None
362,305.0,300.0,2025-03-18,None
363,320.0,315.0,2025-03-18,None
364,305.0,300.0,2025-03-18,None
365,305.0,300.0,2025-03-18,None
366,,,,None
367,320.0,335.0,2024-11-27,None
368,350.0,340.0,2024-10-08,None
369,320.0,335.0,2024-11-27,None
370,,,,None
371,,,,None
372,,,,None
373,,,,None
374,,,,None
375,,,,None
376,,,,None
377,,,,None
378,,,,None
379,,,,None
380,,,,None
381,,,,None
382,,,,None
383,,,,None
384,,,,None
385,,,,None
386,211.0,210.0,2025-05-26,None
387,211.0,210.0,2025-05-26,None
388,219.0,215.0,2025-02-26,None
389,194.0,202.0,2024-12-26,None
390,205.0,210.0,2024-09-10,None
391,,205.0,2024-08-27,None
392,,,,None
393,,,,None
394,,,,None
395,,,,None
396,,,,None
397,,,,None
398,220.0,225.0,2025-05-07,None
399,220.0,225.0,2025-04-21,None
400,225.0,249.0,2024-10-04,None
401,232.0,230.0,2025-02-26,None
402,,,,None
403,,,,None
404,,,,None
405,104.0,102.0,2024-12-23,None
406,105.0,104.0,2024-10-30,None
407,105.0,104.0,2024-10-30,None
408,120.0,115.0,2025-01-29,None
409,,,,None
410,118.0,117.0,2024-09-10,None
411,,,,None
412,,,,None
413,,,,None
414,,,,None
415,312.0,320.0,2025-07-19,None
416,315.0,312.0,2025-06-09,None
417,312.0,320.0,2025-07-19,None
418,,,,None
419,,,,None
420,,,,None
421,,,,None
422,,,,None
423,340.0,350.0,2025-06-11,None
424,349.0,353.0,2025-01-29,None
425,355.0,350.0,2025-06-11,None
426,345.0,342.0,2024-10-08,None
427,,355.0,2025-02-11,None
428,350.0,355.0,2025-03-12,None
429,360.0,355.0,2025-03-18,None
430,,,,None
431,83.0,75.0,2025-01-30,None
432,,,,None
433,,,,None
434,,,,None
435,,,,None
436,,,,None
437,,,,None
438,,,,None
439,,,,None
440,,,,None
441,,,,None
442,,,,None
443,,,,None
444,990.0,1000.0,2025-01-17,None
445,,,,None
446,,,,None
447,,,,None
448,,,,None
449,1100.0,1080.0,2025-02-26,None
450,,,,None
451,,,,None
452,1100.0,1080.0,2025-02-26,None
453,,,,None
454,,,,None
455,,,,None
456,,,,None
457,,,,None
458,625.0,590.0,2024-08-27,None
459,550.0,650.0,2025-01-12,None
460,,,,None
461,,,,None
462,,,,None
463,,,,None
464,,,,None
465,,,,None
466,690.0,680.0,2024-08-27,None
467,700.0,690.0,2025-04-21,None
468,,,,None
469,,,,None
470,,,,None
471,,,,None
472,,,,None
473,,,,None
474,380.0,385.0,2025-03-18,None
475,,,,None
476,380.0,385.0,2025-03-18,None
477,430.0,420.0,2024-10-08,None
478,,,,None
479,,,,None
480,430.0,420.0,2025-01-29,None
481,,480.0,2024-08-27,None
482,430.0,420.0,2025-01-29,None
483,460.0,415.0,2024-12-12,None
484,,,,None
485,,,,None
486,,,,None
487,,,,None
488,,,,None
489,,,,None
490,,,,None
491,,,,None
492,,,,None
493,,,,None
494,,,,None
495,,,,None
496,,,,None
497,,,,None
498,,,,None
499,,,,None
500,,,,None
501,,,,None
502,,,,None
503,,,,None
504,,,,None
505,,,,None
506,,,,None
507,,,,None
508,,,,None
509,,,,None
510,,,,None
511,,,,None
512,,,,None
513,,,,None
514,,,,None
515,,,,None
516,,,,None
517,,,,None
518,,,,None
519,,,,None
520,,,,None
521,,,,None
522,,,,None
523,,,,None
524,,,,None
525,,,,None
526,730.0,735.0,2024-10-22,None
527,730.0,735.0,2024-10-22,None
528,,,,None
529,,,,None
530,,,,None
531,,,,None
532,,,,None
533,,,,None
534,,,,None
535,745.0,740.0,2025-03-18,None
536,745.0,740.0,2025-03-18,None
537,760.0,750.0,2024-12-26,None
538,,,,None
539,,,,None
540,,,,None
541,,,,None
542,,,,None
543,,,,None
544,805.0,795.0,2024-10-16,None
545,805.0,795.0,2024-10-16,None
546,,,,None
547,,805.0,2024-09-25,None
548,,,,None
549,,,,None
550,,,,None
551,,,,None
552,,,,None
553,,,,None
554,,,,None
555,,,,None
556,,,,None
557,,,,None
558,,,,None
559,,,,None
560,,,,None
561,,,,None
562,910.0,950.0,2026-03-07,None
563,910.0,950.0,2026-03-07,None
564,870.0,860.0,2025-11-25,None
565,,850.0,2025-02-26,None
566,,,,None
567,,,,None
568,,,,None
569,980.0,990.0,2026-02-09,None
570,980.0,990.0,2026-02-09,None
571,975.0,1050.0,2024-12-28,None
572,,,,None
573,,,,None
574,,,,None
575,,,,None
576,,,,None
577,,,,None
578,,,,None
579,,,,None
580,,,,None
581,,,,None
582,,,,None
583,,,,None
584,780.0,850.0,2025-01-29,None
585,,,,None
586,,,,None
587,,,,None
588,,,,None
589,,,,None
590,,,,None
591,,,,None
592,,,,None
593,,,,None
594,,,,None
595,,,,None
596,,,,None
597,,,,None
598,,,,None
599,,,,None
600,,,,None
601,,,,None
602,,,,None
603,,,,None
604,,,,None
605,,,,None
606,,,,None
607,,,,None
608,,,,None
609,,,,None
610,,,,None
611,510.0,490.0,2025-01-29,None
612,505.0,530.0,2024-12-23,None
613,530.0,490.0,2025-01-29,None
614,,530.0,2024-12-23,None
615,,,,None
616,,,,None
617,570.0,530.0,2025-02-04,None
618,,,,None
619,620.0,530.0,2025-02-04,None
620,610.0,620.0,2024-12-23,None
621,,,,None
622,,,,None
623,,,,None
624,,,,None
625,,,,None
626,,,,None
627,,,,None
628,,,,None
629,,,,None
630,,,,None
631,,,,None
632,,200.0,2024-08-14,None
633,,200.0,2024-08-14,None
634,,200.0,2024-08-14,None
635,,,,None
636,,,,None
637,,,,None
638,750.0,800.0,2025-07-26,None
639,800.0,790.0,2024-09-25,None
640,750.0,800.0,2025-07-26,None
641,765.0,770.0,2024-12-23,None
642,,,,None
643,,,,None
644,,,,None
645,820.0,870.0,2025-01-12,None
646,850.0,820.0,2024-10-08,None
647,,,,None
648,,,,None
649,,,,None
650,,,,None
651,,,,None
652,140.0,143.0,2024-09-10,None
653,140.0,143.0,2024-09-10,None
654,,,,None
655,,,,None
656,152.0,160.0,2024-10-19,None
657,158.0,160.0,2024-11-21,None
658,160.0,158.0,2024-11-07,None
659,,,,None
660,,,,None
661,,,,None
662,,,,None
663,,,,None
664,188.0,182.0,2024-10-30,None
665,182.0,180.0,2024-11-13,None
666,182.0,180.0,2024-11-13,None
667,180.0,178.0,2024-08-27,None
668,1440.0,1370.0,2025-11-25,None
669,1440.0,1410.0,2025-10-29,None
670,1160.0,1300.0,2025-02-11,None
671,1300.0,1350.0,2025-08-05,None
672,1230.0,1220.0,2025-05-28,None
673,1390.0,1420.0,2025-08-05,None
674,1390.0,1420.0,2025-08-05,None
675,1470.0,1475.0,2024-10-05,None
676,,1380.0,2025-02-26,None
677,,,,None
678,,,,None
679,,,,None
680,,,,None
681,,,,None
682,,,,None
683,114.0,113.0,2024-11-21,None
684,,,,None
685,,,,None
686,,,,None
687,123.0,130.0,2025-01-12,None
688,123.0,130.0,2025-01-12,None
689,,,,None
690,123.0,130.0,2025-01-12,None
691,,,,None
692,,,,None
693,,,,None
694,,,,None
695,,,,None
696,,,,None
697,,,,None
698,,,,None
699,,,,None
700,,,,None
701,,,,None
702,,,,None
703,,,,None
704,,,,None
705,,,,None
706,,,,None
707,530.0,550.0,2026-06-03,None
708,530.0,550.0,2026-06-03,None
709,530.0,550.0,2026-06-03,None
710,530.0,550.0,2026-06-03,None
711,,,,None
712,,,,None
713,635.0,630.0,2024-09-25,None
714,590.0,585.0,2026-03-31,None
715,600.0,615.0,2026-06-15,None
716,600.0,590.0,2026-03-23,None
717,585.0,600.0,2026-06-03,None
718,,,,None
719,,,,None
720,,615.0,2026-02-09,None
721,,,,None
722,,,,None
723,,,,None
724,,,,None
725,,,,None
726,,,,None
727,,,,None
728,,600.0,2026-07-09,None
729,,600.0,2026-07-09,None
730,,,,None
731,,,,None
732,,,,None
733,,,,None
734,,,,None
735,670.0,685.0,2024-10-03,None
736,840.0,830.0,2025-10-29,None
737,770.0,830.0,2025-06-30,None
738,750.0,800.0,2025-07-01,None
739,800.0,830.0,2025-06-30,None
740,,,,None
741,,,,None
742,,880.0,2024-09-17,None
743,920.0,850.0,2025-11-25,None
744,900.0,850.0,2025-11-25,None
745,800.0,900.0,2025-06-30,None
746,780.0,790.0,2024-12-26,None
747,,,,None
748,,820.0,2025-03-18,None
749,,,,None
750,,,,None
751,260.0,250.0,2024-09-17,None
752,,,,None
753,260.0,270.0,2025-03-23,None
754,273.0,277.0,2025-02-26,None
755,260.0,270.0,2025-03-23,None
756,250.0,275.0,2025-01-12,None
757,,,,None
758,,,,None
759,,,,None
760,,,,None
761,270.0,275.0,2025-05-04,None
762,280.0,270.0,2025-03-29,None
763,270.0,275.0,2025-05-04,None
764,,307.0,2024-10-19,None
765,,,,None
766,,,,None
767,,,,None
768,,,,None
769,350.0,340.0,2025-03-18,None
770,350.0,340.0,2025-03-18,None
771,650.0,520.0,2025-04-03,None
772,650.0,520.0,2025-04-03,None
773,890.0,880.0,2025-03-06,None
774,890.0,880.0,2025-03-06,None
775,1000.0,1050.0,2025-04-03,None
776,1000.0,1050.0,2025-04-03,None
777,1165.0,1180.0,2025-02-13,None
778,1165.0,1180.0,2025-02-13,None
